employee_id,employee_name,department,position,basic_salary,allowances,total_compensation,avg_performance_score,total_projects_completed,avg_training_hours,avg_attendance_rate,productivity_segment
20415,"Zara Lina Anderson","Data and Analytics Department",Assistant,7908.00,2643.00,10551.00,4.78,30,31.60,93.94,"High productivity / strong attendance"
9834,"Abena Maria Olivia Boateng","Data and Analytics Department",Manager,8789.00,833.00,9622.00,4.78,32,80.80,95.46,"High productivity / strong attendance"
28941,"Emily Sophia Taylor","Finance Department",Consultant,8272.00,1160.00,9432.00,4.78,39,58.60,93.07,"High productivity / strong attendance"
27265,"Victoria Ava Ananya Badu","Human Resources Department",Analyst,6439.00,1802.00,8241.00,4.78,24,54.00,91.55,"High productivity / strong attendance"
25999,"Ama Chen Maria Khan","Customer Support Department",Consultant,6797.00,1249.00,8046.00,4.78,29,74.20,91.56,"High productivity / strong attendance"
12040,"Yusuf Luca Michael Anderson","Product Management Department",Developer,3864.00,2048.00,5912.00,4.78,22,63.60,92.90,"High productivity / strong attendance"
27348,"Hiroshi Yaw Wei Lopez","Human Resources Department",Consultant,2983.00,2257.00,5240.00,4.78,42,76.60,93.87,"High productivity / strong attendance"
8386,"Nathan Alexander Andres Kim","Customer Support Department",Consultant,12707.00,2402.00,15109.00,4.77,19,73.00,93.47,"High productivity / strong attendance"
3689,"David Jean Luca Owusu","Engineering Department",Assistant,11708.00,1447.00,13155.00,4.77,39,71.60,92.08,"High productivity / strong attendance"
4238,"Zara Ananya Okafor","Engineering Department",Consultant,9380.00,2934.00,12314.00,4.77,35,76.40,95.63,"High productivity / strong attendance"
26206,"Maria Emily Naomi Adjei","Human Resources Department",Analyst,8928.00,2419.00,11347.00,4.77,25,34.40,90.58,"High productivity / strong attendance"
3289,"Isaac Carlos Mateo Adjei","Product Management Department",Executive,8315.00,2490.00,10805.00,4.77,24,47.40,92.98,"High productivity / strong attendance"
1783,"David Ivanov","Finance Department",Executive,7387.00,2624.00,10011.00,4.77,20,61.80,89.70,Monitor
19285,"Naomi Ava Aisha Okafor","Finance Department",Analyst,7402.00,2440.00,9842.00,4.77,28,54.80,90.50,"High productivity / strong attendance"
29417,"Hannah Chiamaka Akosua Williams","Marketing Department",Consultant,5630.00,2757.00,8387.00,4.77,30,79.80,89.56,Monitor
19288,"Sofia Ama Lina Johnson","Data and Analytics Department",Assistant,4497.00,1607.00,6104.00,4.77,37,34.40,94.06,"High productivity / strong attendance"
9448,"Hiroshi Arjun Nguyen","Operations Department",Analyst,3556.00,2051.00,5607.00,4.77,35,81.40,91.92,"High productivity / strong attendance"
11043,"Chiamaka Ama Sofia Kim","Marketing Department",Consultant,3351.00,1119.00,4470.00,4.77,25,39.40,90.78,"High productivity / strong attendance"
3975,"Yaw Ivanov","Engineering Department",Assistant,12660.00,2688.00,15348.00,4.76,14,63.80,90.48,"High productivity / strong attendance"
26292,"Andres Liam Liam Taylor","Product Management Department",Analyst,12114.00,2450.00,14564.00,4.76,42,32.00,94.06,"High productivity / strong attendance"
14877,"Zara Olivia Zara Owusu","Data and Analytics Department",Assistant,9376.00,691.00,10067.00,4.76,31,65.80,92.81,"High productivity / strong attendance"
6564,"Mateo Liam Michael Hassan","Engineering Department",Analyst,7827.00,2082.00,9909.00,4.76,26,68.60,89.63,Monitor
13338,"Sofia Adwoa Kim","Product Management Department",Manager,7031.00,1753.00,8784.00,4.76,26,58.60,93.01,"High productivity / strong attendance"
11173,"Kojo Omar Silva","Data and Analytics Department",Developer,3804.00,2713.00,6517.00,4.76,36,58.00,93.36,"High productivity / strong attendance"
16102,"Ella Maria Naomi Kim","Operations Department",Manager,3466.00,2439.00,5905.00,4.76,25,83.60,93.93,"High productivity / strong attendance"
23556,"Sakura Fatima Ava Silva","Data and Analytics Department",Analyst,3480.00,2260.00,5740.00,4.76,28,57.40,93.12,"High productivity / strong attendance"
19689,"Samuel Jean Arjun Ivanov","Finance Department",Manager,14356.00,640.00,14996.00,4.75,20,65.00,89.62,Monitor
14408,"Victoria Victoria Brown","Product Management Department",Assistant,12998.00,1205.00,14203.00,4.75,26,54.60,93.47,"High productivity / strong attendance"
15784,"Chen Naomi Boateng","Marketing Department",Analyst,9631.00,2635.00,12266.00,4.75,26,26.60,92.09,"High productivity / strong attendance"
27979,"Isabella Charlotte Charlotte Boateng","Human Resources Department",Developer,9087.00,2987.00,12074.00,4.75,30,71.20,95.37,"High productivity / strong attendance"
22926,"Abena Ananya Garcia","Marketing Department",Developer,8592.00,653.00,9245.00,4.75,24,82.60,93.22,"High productivity / strong attendance"
25046,"Sebastian Kofi Isaac Williams","Marketing Department",Assistant,6549.00,2202.00,8751.00,4.75,22,53.40,94.26,"High productivity / strong attendance"
15340,"Chiamaka Ava Charlotte Osei","Customer Support Department",Consultant,5506.00,2990.00,8496.00,4.75,38,32.40,93.30,"High productivity / strong attendance"
19712,"Kofi Mohammed Mateo Adjei","Human Resources Department",Assistant,3798.00,1033.00,4831.00,4.75,26,44.20,91.34,"High productivity / strong attendance"
11212,"Mia Mia Sakura Brown","Marketing Department",Manager,3099.00,1527.00,4626.00,4.75,27,53.20,91.23,"High productivity / strong attendance"
5859,"Mohammed Noah Taylor","Data and Analytics Department",Developer,13066.00,2496.00,15562.00,4.74,19,28.80,92.47,"High productivity / strong attendance"
11,"Chiamaka Victoria Hannah Rossi","Finance Department",Analyst,13112.00,2287.00,15399.00,4.74,19,38.00,94.15,"High productivity / strong attendance"
18482,"Sophia Abena Ava Williams","Marketing Department",Manager,11687.00,2980.00,14667.00,4.74,30,69.40,93.58,"High productivity / strong attendance"
26257,"Sakura Ama Ama Boateng","Product Management Department",Assistant,12978.00,1529.00,14507.00,4.74,33,28.20,91.40,"High productivity / strong attendance"
13738,"Hannah Charlotte Mensah","Operations Department",Executive,10947.00,2432.00,13379.00,4.74,27,50.40,91.21,"High productivity / strong attendance"
360,"Olivia Hannah Isabella Okafor","Product Management Department",Developer,8127.00,1359.00,9486.00,4.74,33,27.80,92.45,"High productivity / strong attendance"
26512,"Adwoa Mia Owusu","Customer Support Department",Developer,8792.00,581.00,9373.00,4.74,21,60.00,95.12,"High productivity / strong attendance"
18742,"Zara Naomi Maria Badu","Customer Support Department",Developer,6592.00,1160.00,7752.00,4.74,18,24.80,90.47,"High productivity / strong attendance"
20687,"Kojo Yaw Elijah Campbell","Engineering Department",Executive,6792.00,571.00,7363.00,4.74,23,80.40,91.92,"High productivity / strong attendance"
22445,"Chen Olivia Hannah Lee","Data and Analytics Department",Consultant,4965.00,1489.00,6454.00,4.74,31,30.80,95.19,"High productivity / strong attendance"
19509,"Chiamaka Charlotte Charlotte Rossi","Product Management Department",Analyst,2745.00,1932.00,4677.00,4.74,22,83.80,90.04,"High productivity / strong attendance"
22283,"Kwame Liam Hassan","Marketing Department",Analyst,3273.00,1047.00,4320.00,4.74,27,33.60,94.28,"High productivity / strong attendance"
22869,"Kofi Arjun Okafor","Engineering Department",Executive,14811.00,2586.00,17397.00,4.73,24,56.60,88.49,Monitor
27124,"Ethan Wei Yaw Patel","Marketing Department",Consultant,14462.00,2691.00,17153.00,4.73,22,56.80,89.30,Monitor
5848,"Elijah Yaw Wei Campbell","Engineering Department",Assistant,14198.00,2408.00,16606.00,4.73,24,67.40,92.98,"High productivity / strong attendance"
12996,"Wei Hiroshi Okafor","Engineering Department",Consultant,13599.00,2625.00,16224.00,4.73,21,62.80,92.90,"High productivity / strong attendance"
1677,"Liam Liam Adjei","Data and Analytics Department",Executive,14411.00,899.00,15310.00,4.73,19,43.00,93.57,"High productivity / strong attendance"
6320,"Maria Aisha Grace Okafor","Marketing Department",Assistant,11909.00,2674.00,14583.00,4.73,29,50.40,93.29,"High productivity / strong attendance"
26627,"Ethan Omar Kojo Adjei","Finance Department",Executive,11614.00,2374.00,13988.00,4.73,29,47.80,91.83,"High productivity / strong attendance"
4235,"Hannah Ananya Maria Kim","Marketing Department",Analyst,11760.00,2024.00,13784.00,4.73,28,84.20,93.44,"High productivity / strong attendance"
24915,"Yaw Nathan Kofi Williams","Human Resources Department",Assistant,11335.00,2206.00,13541.00,4.73,25,75.80,91.43,"High productivity / strong attendance"
2309,"Akosua Aisha Khan","Product Management Department",Analyst,11422.00,336.00,11758.00,4.73,33,74.20,94.70,"High productivity / strong attendance"
24671,"Isaac Kofi Anderson","Human Resources Department",Consultant,9254.00,1638.00,10892.00,4.73,27,30.00,94.89,"High productivity / strong attendance"
16555,"Naomi Ama Ava Nguyen","Marketing Department",Developer,8712.00,2159.00,10871.00,4.73,32,60.20,92.34,"High productivity / strong attendance"
507,"Mia Abena Schmidt","Human Resources Department",Assistant,9357.00,931.00,10288.00,4.73,31,79.80,90.01,"High productivity / strong attendance"
51,"Jean Kojo Sebastian Taylor","Marketing Department",Manager,7969.00,2244.00,10213.00,4.73,25,33.40,92.46,"High productivity / strong attendance"
4399,"Sebastian Luca Garcia","Marketing Department",Executive,5795.00,890.00,6685.00,4.73,34,42.40,92.73,"High productivity / strong attendance"
29029,"Isaac Ethan Badu","Data and Analytics Department",Developer,4435.00,1197.00,5632.00,4.73,27,59.60,95.79,"High productivity / strong attendance"
28626,"Sofia Sakura Adwoa Owusu","Product Management Department",Manager,2805.00,2047.00,4852.00,4.73,21,76.20,92.02,"High productivity / strong attendance"
2946,"Sebastian Wei Hassan","Operations Department",Developer,14746.00,2414.00,17160.00,4.72,19,47.80,97.24,"High productivity / strong attendance"
12535,"Hiroshi Isaac Isaac Nguyen","Marketing Department",Analyst,14634.00,1602.00,16236.00,4.72,25,34.80,92.18,"High productivity / strong attendance"
561,"Ethan Campbell","Human Resources Department",Manager,14379.00,729.00,15108.00,4.72,23,36.40,90.94,"High productivity / strong attendance"
2407,"Nathan Carlos Anderson","Marketing Department",Analyst,11741.00,2561.00,14302.00,4.72,21,52.40,93.68,"High productivity / strong attendance"
8992,"Alexander Alexander Smith","Marketing Department",Analyst,12696.00,973.00,13669.00,4.72,40,86.20,95.14,"High productivity / strong attendance"
14987,"Arjun Yusuf Brown","Customer Support Department",Analyst,11467.00,2171.00,13638.00,4.72,18,25.20,90.69,"High productivity / strong attendance"
18075,"Michael Omar Isaac Patel","Human Resources Department",Manager,10984.00,2106.00,13090.00,4.72,26,75.80,92.99,"High productivity / strong attendance"
2398,"Chiamaka Isabella Isabella Anderson","Data and Analytics Department",Consultant,10123.00,1883.00,12006.00,4.72,28,74.60,94.38,"High productivity / strong attendance"
4033,"Emily Ava Sakura Osei","Marketing Department",Executive,9161.00,2708.00,11869.00,4.72,26,42.20,90.47,"High productivity / strong attendance"
17626,"Charlotte Sakura Akosua Schmidt","Customer Support Department",Executive,10003.00,1342.00,11345.00,4.72,26,61.00,96.21,"High productivity / strong attendance"
6967,"Yaw Nathan Boateng","Customer Support Department",Analyst,8164.00,2969.00,11133.00,4.72,37,68.80,93.49,"High productivity / strong attendance"
15615,"Sophia Ella Mia Garcia","Engineering Department",Analyst,9515.00,1544.00,11059.00,4.72,27,82.40,94.20,"High productivity / strong attendance"
2867,"Mia Maria Charlotte Badu","Marketing Department",Consultant,8055.00,2793.00,10848.00,4.72,33,65.40,93.42,"High productivity / strong attendance"
19923,"Liam Yaw Dubois","Engineering Department",Developer,9691.00,1105.00,10796.00,4.72,33,30.00,96.82,"High productivity / strong attendance"
758,"Chen Silva","Marketing Department",Developer,9979.00,803.00,10782.00,4.72,22,32.60,93.11,"High productivity / strong attendance"
19409,"Chiamaka Naomi Ama Schmidt","Finance Department",Executive,9468.00,1093.00,10561.00,4.72,26,44.80,93.64,"High productivity / strong attendance"
21918,"Chiamaka Adwoa Okafor","Human Resources Department",Consultant,8734.00,1336.00,10070.00,4.72,31,85.40,94.25,"High productivity / strong attendance"
13121,"Yaw Mateo Johnson","Human Resources Department",Assistant,4795.00,2665.00,7460.00,4.72,36,56.00,90.96,"High productivity / strong attendance"
5268,"Adwoa Maria Silva","Marketing Department",Consultant,6430.00,973.00,7403.00,4.72,21,68.80,91.65,"High productivity / strong attendance"
27134,"Abena Grace Mensah","Data and Analytics Department",Developer,4861.00,1738.00,6599.00,4.72,24,82.00,90.46,"High productivity / strong attendance"
14194,"Kofi Daniel Rossi","Product Management Department",Manager,3835.00,2633.00,6468.00,4.72,33,47.40,93.36,"High productivity / strong attendance"
17151,"Samuel Mohammed Mohammed Johnson","Customer Support Department",Developer,4666.00,1476.00,6142.00,4.72,38,32.20,92.72,"High productivity / strong attendance"
15296,"Kwame Kwame Arjun Brown","Marketing Department",Analyst,4812.00,622.00,5434.00,4.72,24,43.80,90.89,"High productivity / strong attendance"
5987,"Wei David Mohammed Silva","Operations Department",Assistant,4548.00,652.00,5200.00,4.72,25,68.80,89.55,Monitor
25104,"Akosua Akosua Chen Badu","Customer Support Department",Manager,4615.00,452.00,5067.00,4.72,29,31.60,93.16,"High productivity / strong attendance"
4848,"Wei Mateo Silva","Marketing Department",Consultant,2741.00,2071.00,4812.00,4.72,13,80.40,91.14,"High productivity / strong attendance"
17678,"Abena Ama Akosua Osei","Engineering Department",Executive,2720.00,1531.00,4251.00,4.72,21,67.80,92.92,"High productivity / strong attendance"
17307,"Ella Olivia Kim","Data and Analytics Department",Analyst,13697.00,2088.00,15785.00,4.71,30,38.60,94.06,"High productivity / strong attendance"
2065,"Kwame Liam Samuel Patel","Customer Support Department",Analyst,12235.00,2849.00,15084.00,4.71,41,70.20,91.70,"High productivity / strong attendance"
5696,"Kwame Michael Boateng","Engineering Department",Consultant,13057.00,1938.00,14995.00,4.71,28,66.40,92.91,"High productivity / strong attendance"
17904,"Wei Mateo Kwame Williams","Human Resources Department",Executive,12255.00,1752.00,14007.00,4.71,29,74.00,91.99,"High productivity / strong attendance"
9063,"Grace Ananya Silva","Data and Analytics Department",Assistant,12768.00,1221.00,13989.00,4.71,27,44.40,93.64,"High productivity / strong attendance"
11520,"Kwame Liam Boateng","Finance Department",Manager,10616.00,2683.00,13299.00,4.71,24,26.40,95.05,"High productivity / strong attendance"
16057,"Luca Ethan Omar Lopez","Data and Analytics Department",Consultant,11146.00,307.00,11453.00,4.71,19,66.40,94.20,"High productivity / strong attendance"
1408,"Abena Charlotte Maria Ivanov","Operations Department",Assistant,9096.00,2004.00,11100.00,4.71,24,78.00,90.30,"High productivity / strong attendance"
4577,"Liam Ethan Elijah Lee","Marketing Department",Executive,10053.00,1001.00,11054.00,4.71,37,84.40,93.78,"High productivity / strong attendance"
8208,"Michael Andres Mateo Silva","Human Resources Department",Consultant,7822.00,2657.00,10479.00,4.71,39,62.00,91.49,"High productivity / strong attendance"
1095,"Victoria Akosua Williams","Finance Department",Developer,8688.00,1547.00,10235.00,4.71,27,35.60,88.93,Monitor
482,"Olivia Lina Sofia Osei","Marketing Department",Analyst,8311.00,1803.00,10114.00,4.71,23,62.80,91.28,"High productivity / strong attendance"
10805,"Kofi Luca Kojo Rossi","Data and Analytics Department",Analyst,9241.00,732.00,9973.00,4.71,31,31.60,91.86,"High productivity / strong attendance"
5397,"Michael Elijah Khan","Customer Support Department",Manager,7396.00,1866.00,9262.00,4.71,27,22.60,94.69,"High productivity / strong attendance"
16875,"Akosua Emily Taylor","Product Management Department",Analyst,6445.00,593.00,7038.00,4.71,22,72.60,93.67,"High productivity / strong attendance"
12805,"Omar Michael David Owusu","Data and Analytics Department",Consultant,5012.00,1864.00,6876.00,4.71,29,48.60,95.12,"High productivity / strong attendance"
3836,"Sofia Fatima Martinez","Data and Analytics Department",Executive,5419.00,921.00,6340.00,4.71,28,79.00,90.05,"High productivity / strong attendance"
4314,"Isaac Luca Mohammed Badu","Engineering Department",Analyst,5852.00,414.00,6266.00,4.71,37,84.60,92.41,"High productivity / strong attendance"
16740,"Samuel Alexander Arjun Johnson","Product Management Department",Manager,13372.00,1174.00,14546.00,4.70,25,83.00,91.72,"High productivity / strong attendance"
20170,"Mohammed Mohammed Andres Nguyen","Finance Department",Executive,13331.00,1091.00,14422.00,4.70,31,44.60,92.55,"High productivity / strong attendance"
9048,"Olivia Emily Lina Kim","Operations Department",Assistant,13585.00,495.00,14080.00,4.70,22,46.60,95.28,"High productivity / strong attendance"
17975,"Maria Chiamaka Sofia Dubois","Customer Support Department",Consultant,13048.00,1023.00,14071.00,4.70,29,26.40,94.80,"High productivity / strong attendance"
8182,"Maria Naomi Mia Okafor","Operations Department",Developer,11507.00,2303.00,13810.00,4.70,37,77.80,92.17,"High productivity / strong attendance"
15655,"Arjun Sebastian Taylor","Human Resources Department",Assistant,12205.00,1421.00,13626.00,4.70,31,86.00,93.52,"High productivity / strong attendance"
23212,"Abena Adwoa Adwoa Mensah","Finance Department",Developer,10545.00,2789.00,13334.00,4.70,26,67.00,93.46,"High productivity / strong attendance"
4126,"Chiamaka Ava Lee","Operations Department",Consultant,11093.00,1876.00,12969.00,4.70,28,86.40,94.99,"High productivity / strong attendance"
18801,"Omar Noah Isaac Dubois","Marketing Department",Developer,10990.00,1209.00,12199.00,4.70,22,52.80,91.39,"High productivity / strong attendance"
26616,"Sophia Maria Nguyen","Finance Department",Analyst,9694.00,2385.00,12079.00,4.70,28,32.60,91.46,"High productivity / strong attendance"
26186,"Carlos Carlos Anderson","Customer Support Department",Assistant,8927.00,2463.00,11390.00,4.70,34,66.60,91.15,"High productivity / strong attendance"
8324,"Maria Sakura Ama Silva","Human Resources Department",Assistant,8820.00,2455.00,11275.00,4.70,23,46.60,96.32,"High productivity / strong attendance"
9334,"Liam Sebastian Ivanov","Engineering Department",Developer,9654.00,505.00,10159.00,4.70,25,35.00,90.48,"High productivity / strong attendance"
10357,"Abena Sakura Silva","Marketing Department",Manager,7216.00,2519.00,9735.00,4.70,25,78.60,91.37,"High productivity / strong attendance"
5132,"Fatima Emily Owusu","Engineering Department",Consultant,7989.00,622.00,8611.00,4.70,30,51.60,93.22,"High productivity / strong attendance"
8248,"Charlotte Ama Ama Dubois","Product Management Department",Developer,6904.00,1642.00,8546.00,4.70,21,29.00,92.01,"High productivity / strong attendance"
9632,"Kwame Noah Kofi Hassan","Operations Department",Manager,7839.00,701.00,8540.00,4.70,34,70.40,88.50,Monitor
4306,"Kwame Kofi Johnson","Product Management Department",Executive,7518.00,928.00,8446.00,4.70,35,57.00,90.51,"High productivity / strong attendance"
23838,"Samuel Mateo Jean Smith","Human Resources Department",Assistant,7294.00,823.00,8117.00,4.70,25,65.20,94.70,"High productivity / strong attendance"
16101,"Ella Aisha Ella Campbell","Marketing Department",Consultant,6597.00,1404.00,8001.00,4.70,31,82.00,91.81,"High productivity / strong attendance"
4433,"Omar Elijah Dubois","Human Resources Department",Developer,5119.00,2872.00,7991.00,4.70,25,69.80,95.67,"High productivity / strong attendance"
945,"Lina Mensah","Customer Support Department",Analyst,5213.00,2442.00,7655.00,4.70,36,54.60,91.55,"High productivity / strong attendance"
9750,"Lina Isabella Dubois","Product Management Department",Analyst,4515.00,2840.00,7355.00,4.70,27,35.40,91.91,"High productivity / strong attendance"
6676,"Fatima Mia Naomi Lopez","Data and Analytics Department",Analyst,5642.00,1628.00,7270.00,4.70,30,34.40,95.20,"High productivity / strong attendance"
8181,"David Sebastian Omar Johnson","Product Management Department",Consultant,4316.00,2473.00,6789.00,4.70,34,84.00,90.12,"High productivity / strong attendance"
20465,"Isabella Abena Grace Anderson","Customer Support Department",Executive,4811.00,1125.00,5936.00,4.70,30,52.60,92.13,"High productivity / strong attendance"
18450,"Elijah Michael Schmidt","Marketing Department",Analyst,3087.00,1667.00,4754.00,4.70,36,50.00,91.04,"High productivity / strong attendance"
141,"Grace Mia Khan","Engineering Department",Manager,2720.00,1355.00,4075.00,4.70,28,66.80,93.35,"High productivity / strong attendance"
22515,"Isabella Isabella Campbell","Finance Department",Consultant,2619.00,301.00,2920.00,4.70,33,48.80,90.19,"High productivity / strong attendance"
20185,"Samuel Isaac Yusuf Ivanov","Engineering Department",Analyst,13860.00,2923.00,16783.00,4.69,39,30.60,92.90,"High productivity / strong attendance"
7125,"Sakura Chen Hannah Johnson","Operations Department",Executive,14829.00,842.00,15671.00,4.69,27,83.60,94.34,"High productivity / strong attendance"
571,"Maria Garcia","Data and Analytics Department",Executive,13848.00,1215.00,15063.00,4.69,22,67.00,93.61,"High productivity / strong attendance"
5334,"Aisha Naomi Brown","Finance Department",Analyst,12904.00,2148.00,15052.00,4.69,31,34.40,91.26,"High productivity / strong attendance"
3040,"Samuel Kojo Hassan","Product Management Department",Assistant,13308.00,1584.00,14892.00,4.69,26,37.40,94.72,"High productivity / strong attendance"
15164,"Nathan Wei David Lee","Engineering Department",Assistant,11916.00,2556.00,14472.00,4.69,25,46.60,93.10,"High productivity / strong attendance"
10965,"Mohammed Carlos Taylor","Human Resources Department",Developer,13758.00,546.00,14304.00,4.69,23,30.00,89.07,Monitor
2122,"Isabella Isabella Ava Schmidt","Operations Department",Analyst,11411.00,2612.00,14023.00,4.69,26,82.00,96.09,"High productivity / strong attendance"
16730,"Michael Yusuf Wei Patel","Data and Analytics Department",Analyst,12599.00,1291.00,13890.00,4.69,24,73.60,92.56,"High productivity / strong attendance"
19097,"Yaw David David Lopez","Product Management Department",Assistant,11176.00,2435.00,13611.00,4.69,25,71.20,95.28,"High productivity / strong attendance"
29762,"Hannah Zara Lopez","Engineering Department",Analyst,10893.00,2379.00,13272.00,4.69,12,63.80,91.39,"High productivity / strong attendance"
23196,"Samuel Nathan Rossi","Marketing Department",Developer,11745.00,1182.00,12927.00,4.69,29,51.40,91.42,"High productivity / strong attendance"
27748,"Sakura Olivia Mensah","Finance Department",Manager,10778.00,2056.00,12834.00,4.69,38,41.40,94.38,"High productivity / strong attendance"
20969,"Yusuf Kwame Elijah Lee","Customer Support Department",Assistant,10811.00,1030.00,11841.00,4.69,33,62.40,87.96,Monitor
3670,"Elijah Andres Kim","Product Management Department",Manager,8572.00,2352.00,10924.00,4.69,24,84.00,90.39,"High productivity / strong attendance"
26349,"Arjun Hiroshi Garcia","Operations Department",Consultant,8680.00,1610.00,10290.00,4.69,20,77.80,88.92,Monitor
18447,"Alexander Alexander Kwame Williams","Operations Department",Developer,8898.00,973.00,9871.00,4.69,31,56.80,89.48,Monitor
24149,"Lina Abena Garcia","Finance Department",Analyst,7662.00,2031.00,9693.00,4.69,35,40.80,90.89,"High productivity / strong attendance"
1052,"Omar Daniel Wei Taylor","Product Management Department",Developer,7690.00,1418.00,9108.00,4.69,21,77.60,95.48,"High productivity / strong attendance"
7248,"Isabella Ama Sofia Lopez","Marketing Department",Consultant,7505.00,330.00,7835.00,4.69,23,68.40,92.36,"High productivity / strong attendance"
17589,"Samuel Noah Yusuf Brown","Operations Department",Manager,5129.00,2399.00,7528.00,4.69,32,50.60,89.75,Monitor
2183,"Yaw Sebastian Khan","Data and Analytics Department",Developer,6312.00,839.00,7151.00,4.69,39,65.60,94.24,"High productivity / strong attendance"
17991,"Victoria Ava Charlotte Anderson","Finance Department",Analyst,4115.00,2877.00,6992.00,4.69,23,34.00,94.12,"High productivity / strong attendance"
16046,"Noah Wei Mateo Patel","Customer Support Department",Analyst,4245.00,2711.00,6956.00,4.69,24,53.60,95.01,"High productivity / strong attendance"
18830,"Samuel Arjun Arjun Mensah","Operations Department",Manager,6533.00,394.00,6927.00,4.69,30,58.60,93.13,"High productivity / strong attendance"
23668,"Sophia Ananya Sophia Mensah","Customer Support Department",Developer,4917.00,1878.00,6795.00,4.69,26,24.20,92.08,"High productivity / strong attendance"
16574,"Samuel Hiroshi Ivanov","Data and Analytics Department",Executive,6050.00,649.00,6699.00,4.69,28,42.60,91.65,"High productivity / strong attendance"
27533,"Daniel Kojo Andres Silva","Finance Department",Developer,5346.00,1240.00,6586.00,4.69,32,82.00,91.77,"High productivity / strong attendance"
20685,"Ethan Liam Dubois","Customer Support Department",Assistant,4425.00,1859.00,6284.00,4.69,34,76.20,92.98,"High productivity / strong attendance"
13095,"Isaac Omar Schmidt","Finance Department",Consultant,4985.00,859.00,5844.00,4.69,38,68.80,91.65,"High productivity / strong attendance"
16453,"Olivia Ava Mensah","Operations Department",Manager,4385.00,1200.00,5585.00,4.69,36,40.20,93.78,"High productivity / strong attendance"
20166,"Victoria Naomi Mensah","Operations Department",Manager,3336.00,2204.00,5540.00,4.69,18,28.00,92.51,"High productivity / strong attendance"
16978,"Zara Olivia Anderson","Human Resources Department",Developer,4098.00,1270.00,5368.00,4.69,24,41.00,95.26,"High productivity / strong attendance"
28087,"Sofia Charlotte Lopez","Finance Department",Manager,3544.00,1691.00,5235.00,4.69,26,38.20,89.81,Monitor
26396,"Wei Alexander Taylor","Marketing Department",Analyst,4056.00,477.00,4533.00,4.69,28,36.00,94.66,"High productivity / strong attendance"
22331,"Charlotte Isabella Patel","Engineering Department",Consultant,4077.00,336.00,4413.00,4.69,17,67.20,90.98,"High productivity / strong attendance"
29131,"Elijah Kwame David Campbell","Customer Support Department",Developer,13960.00,2609.00,16569.00,4.68,34,29.80,90.40,"High productivity / strong attendance"
6403,"Grace Abena Boateng","Human Resources Department",Consultant,14382.00,1772.00,16154.00,4.68,20,64.40,90.89,"High productivity / strong attendance"
