finance_id ,basic_salary,tax_id,account_number,staff_id,allowances,bank_name
FIN-1147,3210,GHA-8811096222-3,1470319425,148,1851,Republic Bank Ghana
FIN-1148,3329,GHA-6279912650-4,51557104258,149,2641,Stanbic Bank Ghana
FIN-1149,4307,GHA-2643498002-6,764566441467,150,711,Fidelity Bank Ghana
FIN-1150,8503,GHA-2369428609-8,92162743300,151,2371,Access Bank Ghana
FIN-1151,12557,GHA-9374237421-4,7948747221626,152,441,Fidelity Bank Ghana
FIN-1152,10953,GHA-7678590480-2,156271638337,153,2081,Absa Bank Ghana
FIN-1153,3559,GHA-4180538928-9,9928247475901,154,2235,Republic Bank Ghana
FIN-1154,10206,GHA-3170334337-9,81675074977,155,2697,Ecobank Ghana
FIN-1155,8972,GHA-8832306866-4,631793083274,156,2009,CalBank
FIN-1156,12616,GHA-7473431549-6,147857358978,157,2145,Ecobank Ghana
FIN-1157,6111,GHA-7381310909-5,0078913531,158,1845,Access Bank Ghana
FIN-1158,10261,GHA-5286450970-1,044638645210,159,1602,Fidelity Bank Ghana
FIN-1159,11696,GHA-5938276781-1,733619466161,160,2286,Ecobank Ghana
FIN-1160,3619,GHA-4434057192-4,7777478897793,161,1555,Fidelity Bank Ghana
FIN-1161,6755,GHA-7332087208-3,9155608013134,162,707,CalBank
FIN-1162,9761,GHA-1182895519-5,003431812185,163,1969,First Atlantic Bank
FIN-1163,13218,GHA-2107190140-0,92768003132,164,1111,Stanbic Bank Ghana
FIN-1164,7682,GHA-4314404413-7,081368986152,165,2973,Stanbic Bank Ghana
FIN-1165,3537,GHA-8340079240-4,421110651674,166,2937,Fidelity Bank Ghana
FIN-1166,2695,GHA-4950434136-4,9488703531,167,360,First Atlantic Bank
FIN-1167,13174,GHA-7783068391-8,8947517432,168,1589,Absa Bank Ghana
FIN-1168,7865,GHA-4680990936-0,573665906314,169,480,Ecobank Ghana
FIN-1169,7299,GHA-3864819655-8,94825696072,170,2202,Stanbic Bank Ghana
FIN-1170,4800,GHA-9982046877-9,2306494427271,171,2070,Stanbic Bank Ghana
FIN-1171,4446,GHA-2383520462-8,05724718836,172,1070,CalBank
FIN-1172,10645,GHA-4203074344-0,7009126991296,173,1178,Access Bank Ghana
FIN-1173,11467,GHA-4966686362-4,77477719641,174,2208,Absa Bank Ghana
FIN-1174,14204,GHA-8591153295-6,29962716868,175,1493,Absa Bank Ghana
FIN-1175,14044,GHA-8306716008-1,85172761103,176,1396,CalBank
FIN-1176,10798,GHA-0556168521-1,48089843973,177,2140,Stanbic Bank Ghana
FIN-1177,6836,GHA-3500606736-2,6659622479,178,2676,Fidelity Bank Ghana
FIN-1178,13828,GHA-3915725815-4,91565858554,179,1399,Republic Bank Ghana
FIN-1179,13855,GHA-5539373594-7,97211697815,180,1104,First Atlantic Bank
FIN-1180,5269,GHA-6743071012-8,461953171947,181,1257,Stanbic Bank Ghana
FIN-1181,5653,GHA-6058839599-5,320158348713,182,1148,Access Bank Ghana
FIN-1182,5139,GHA-8707730109-0,0877984960775,183,2371,Absa Bank Ghana
FIN-1183,7128,GHA-7802036692-9,3990625371539,184,1951,Republic Bank Ghana
FIN-1184,14206,GHA-9151878820-1,336394147829,185,1035,GCB Bank
FIN-1185,5593,GHA-0069475360-3,5448510458377,186,770,UBA Ghana
FIN-1186,13449,GHA-3721662031-2,40796822210,187,2830,Absa Bank Ghana
FIN-1187,10704,GHA-4690300030-4,69400659825,188,2857,First Atlantic Bank
FIN-1188,11909,GHA-2582275878-3,3487638881,189,563,Absa Bank Ghana
FIN-1189,3651,GHA-5754836146-6,63048289047,190,1627,First Atlantic Bank
FIN-1190,5915,GHA-8214079142-8,3555397357593,191,2833,CalBank
FIN-1191,5930,GHA-7960760056-0,47736876312,192,1888,Access Bank Ghana
FIN-1192,14641,GHA-8837701659-7,9569755204117,193,1577,CalBank
FIN-1193,10407,GHA-3688709479-2,9533222068,194,1346,Stanbic Bank Ghana
FIN-1194,11075,GHA-7036124294-3,37368265243,195,619,Access Bank Ghana
FIN-1195,3422,GHA-5060678197-4,9016944838,196,2550,UBA Ghana
FIN-1196,8575,GHA-3604212285-9,2153134255554,197,1188,Republic Bank Ghana
FIN-1197,12899,GHA-0440039277-0,9693647888,198,1387,Fidelity Bank Ghana
FIN-1198,4308,GHA-5024500466-7,080255911612,199,2305,UBA Ghana
FIN-1199,6188,GHA-4617123997-8,181532586207,200,356,Fidelity Bank Ghana
FIN-1200,9957,GHA-1447508334-6,3878731948,201,1414,Access Bank Ghana
FIN-1201,4080,GHA-9936466089-7,15853869031,202,2820,Absa Bank Ghana
FIN-1202,13103,GHA-0887075001-2,5551460415,203,1941,Ecobank Ghana
FIN-1203,7350,GHA-3536198260-4,2629483028821,204,926,Absa Bank Ghana
FIN-1204,5403,GHA-3404418435-1,906558866164,205,2357,Stanbic Bank Ghana
FIN-1205,9079,GHA-9175681623-5,156408123606,206,2237,Absa Bank Ghana
FIN-1206,13497,GHA-6595357464-5,8620111147978,207,1098,UBA Ghana
FIN-1207,7173,GHA-3704952695-3,9557330152821,208,2013,UBA Ghana
FIN-1208,14947,GHA-5387080045-2,734514985679,209,1310,GCB Bank
FIN-1209,13962,GHA-4527152664-3,2869599605535,210,1419,GCB Bank
FIN-1210,13403,GHA-5145919600-0,291025841004,211,2841,Fidelity Bank Ghana
FIN-1211,4992,GHA-5985730337-6,23065359997,212,1609,Ecobank Ghana
FIN-1212,6176,GHA-3717622753-2,0761841233196,213,1885,Republic Bank Ghana
FIN-1213,7568,GHA-0965151583-7,9072804822826,214,2678,GCB Bank
FIN-1214,8952,GHA-7721756284-7,3472646444,215,531,Ecobank Ghana
FIN-1215,12185,GHA-5239844967-9,39299159816,216,2013,Stanbic Bank Ghana
FIN-1216,7791,GHA-5414073548-3,00632883770,217,1639,CalBank
FIN-1217,10574,GHA-3546130409-6,480470343425,218,1197,GCB Bank
FIN-1218,12621,GHA-3821991156-6,6394263370,219,825,Stanbic Bank Ghana
FIN-1219,4968,GHA-0828647712-9,4551990768275,220,1697,Ecobank Ghana
FIN-1220,2695,GHA-8503507317-7,538040117658,221,2818,Fidelity Bank Ghana
FIN-1221,6478,GHA-3640467345-3,139349831604,222,1570,GCB Bank
FIN-1222,5008,GHA-2432745618-6,4215844624,223,2729,UBA Ghana
FIN-1223,14382,GHA-3329545563-4,86372865846,224,2234,Absa Bank Ghana
FIN-1224,14420,GHA-2381047940-5,28955203594,225,895,GCB Bank
FIN-1225,12502,GHA-2487262808-1,0436144277,226,569,CalBank
FIN-1226,2819,GHA-6991562465-4,76904475745,227,2829,Republic Bank Ghana
FIN-1227,11703,GHA-5568708767-7,6638638402,228,1597,CalBank
FIN-1228,5805,GHA-2914983749-3,621344791665,229,1514,First Atlantic Bank
FIN-1229,10059,GHA-0765833723-6,1488163692373,230,1549,Republic Bank Ghana
FIN-1230,14619,GHA-2442600164-8,0574529994,231,2011,CalBank
FIN-1231,7318,GHA-2862192409-2,7619006850,232,2882,First Atlantic Bank
FIN-1232,7847,GHA-7254310501-8,28944179335,233,2564,Stanbic Bank Ghana
FIN-1233,9687,GHA-4310689331-2,32468473698,234,1365,Fidelity Bank Ghana
FIN-1234,4831,GHA-5103336140-7,43370391112,235,2992,Ecobank Ghana
FIN-1235,10899,GHA-7295668694-2,679518855699,236,2914,UBA Ghana
FIN-1236,10010,GHA-9045296429-2,0811846582,237,1101,First Atlantic Bank
FIN-1237,5192,GHA-6595563210-8,965628715726,238,661,Stanbic Bank Ghana
FIN-1238,10073,GHA-5259180478-1,69903104103,239,1512,Republic Bank Ghana
FIN-1239,9590,GHA-5618939840-1,203612884223,240,2019,CalBank
FIN-1240,11034,GHA-0833650340-1,9514071467157,241,2494,Republic Bank Ghana
FIN-1241,14416,GHA-7092980425-6,364694446321,242,1024,GCB Bank
FIN-1242,5799,GHA-8436964990-3,1538790803,243,2385,First Atlantic Bank
FIN-1243,3799,GHA-8010559435-8,688307385144,244,1247,Republic Bank Ghana
FIN-1244,3526,GHA-6361303506-3,805941344188,245,1621,Absa Bank Ghana
FIN-1245,8613,GHA-3543615483-2,11297760685,246,2664,Access Bank Ghana
FIN-1246,4796,GHA-7114733756-9,9109516047463,247,2998,First Atlantic Bank
FIN-1247,11659,GHA-8188988329-3,0847056440,248,1531,UBA Ghana
FIN-1248,6975,GHA-8202873852-2,9723293724113,249,2434,Ecobank Ghana
FIN-1249,5027,GHA-9582475330-1,25448076158,250,345,UBA Ghana
FIN-1250,14220,GHA-9487081914-1,410283019441,251,1433,Ecobank Ghana
FIN-1251,11864,GHA-2766673421-8,459181773681,252,439,Access Bank Ghana
FIN-1252,13290,GHA-1946117179-1,1009592799397,253,1369,GCB Bank
FIN-1253,5007,GHA-9885937017-4,1705719153777,254,2673,First Atlantic Bank
FIN-1254,7751,GHA-8227683391-9,2741812997,255,1083,Stanbic Bank Ghana
FIN-1255,6966,GHA-8533555842-2,53903964973,256,907,Fidelity Bank Ghana
FIN-1256,7511,GHA-3485950496-1,8129350756244,257,1089,UBA Ghana
FIN-1257,5998,GHA-5527172530-9,76908830611,258,738,Stanbic Bank Ghana
FIN-1258,2946,GHA-9364050463-1,3688786983571,259,2528,CalBank
FIN-1259,3332,GHA-9014914121-3,0807939235,260,556,GCB Bank
FIN-1260,4480,GHA-8139434403-7,0184630809129,261,2021,Absa Bank Ghana
FIN-1261,10712,GHA-1015085536-8,62324854273,262,2270,Republic Bank Ghana
FIN-1262,13542,GHA-5764042712-1,2713432732,263,432,CalBank
FIN-1263,6096,GHA-2606454253-1,6690670887062,264,1495,Ecobank Ghana
FIN-1264,9970,GHA-3979402368-1,31298939332,265,2499,Republic Bank Ghana
FIN-1265,4717,GHA-4435785676-1,751692711784,266,1333,GCB Bank
FIN-1266,9455,GHA-5932829581-0,4814164997,267,574,Stanbic Bank Ghana
FIN-1267,2987,GHA-4751925180-7,426293013628,268,1559,CalBank
FIN-1268,3267,GHA-1499171298-0,9834728765,269,2276,UBA Ghana
FIN-1269,12225,GHA-6523955431-8,60952424350,270,1223,First Atlantic Bank
FIN-1270,2798,GHA-0877734398-2,1096448203118,271,2009,Republic Bank Ghana
FIN-1271,13028,GHA-0803889284-7,9461347316,272,452,First Atlantic Bank
FIN-1272,13146,GHA-8373911901-0,5100263232,273,1761,Access Bank Ghana
FIN-1273,7258,GHA-7399686629-1,3586516326,274,1755,Stanbic Bank Ghana
FIN-1274,11920,GHA-9720711471-4,2286367390,275,1610,UBA Ghana
FIN-1275,11981,GHA-2869281073-0,5383464155,276,2037,UBA Ghana
FIN-1276,5691,GHA-6550324800-6,12031754269,277,1350,Fidelity Bank Ghana
FIN-1277,6164,GHA-4371299168-3,30338003970,278,2126,First Atlantic Bank
FIN-1278,6129,GHA-4515683584-8,0909763308503,279,1040,Access Bank Ghana
FIN-1279,6095,GHA-5810824008-8,237295328609,280,2409,Ecobank Ghana
FIN-1280,11174,GHA-1825695155-5,68210327368,281,1882,Ecobank Ghana
FIN-1281,5569,GHA-2907127058-9,3481990667,282,1252,Republic Bank Ghana
FIN-1282,12329,GHA-3742684154-1,5667875864335,283,2391,Stanbic Bank Ghana
FIN-1283,12075,GHA-4239330052-5,171346052462,284,1576,Absa Bank Ghana
FIN-1284,9298,GHA-7075255599-3,2399842161894,285,2387,Stanbic Bank Ghana
FIN-1285,13430,GHA-5779126104-0,3260858766876,286,2598,Ecobank Ghana
FIN-1286,7550,GHA-9856676334-0,44293763404,287,454,Access Bank Ghana
FIN-1287,14859,GHA-2361901029-0,71636526661,288,910,UBA Ghana
FIN-1288,9290,GHA-7886051215-4,65292405472,289,2080,Ecobank Ghana
FIN-1289,10197,GHA-2681301459-7,698159567579,290,2631,Stanbic Bank Ghana
FIN-1290,13484,GHA-3902332025-1,9061317243368,291,726,Absa Bank Ghana
FIN-1291,5193,GHA-3741519433-4,765364995090,292,511,Access Bank Ghana
FIN-1292,3411,GHA-8451279015-7,1542418244,293,1474,Republic Bank Ghana
FIN-1293,10856,GHA-6185688505-9,593308023987,294,2992,First Atlantic Bank
FIN-1294,6596,GHA-6920816709-4,2438842602665,295,2843,Absa Bank Ghana
FIN-1295,4979,GHA-3023957936-9,4026219927,296,2882,GCB Bank
FIN-1296,4369,GHA-2738036599-3,8729262443,297,1870,Access Bank Ghana
FIN-1297,13926,GHA-9553609223-5,7305678384514,298,2203,CalBank
FIN-1298,3731,GHA-8764119216-6,4377312564,299,2483,UBA Ghana
FIN-1299,9893,GHA-7658252988-1,6511159910,300,1047,Access Bank Ghana
FIN-1300,7321,GHA-3073495900-8,7196910883478,301,947,Republic Bank Ghana
FIN-1301,9514,GHA-9205875395-1,46425602792,302,1607,First Atlantic Bank
FIN-1302,5027,GHA-1339080652-1,265577916505,303,2298,Fidelity Bank Ghana
FIN-1303,10363,GHA-8661847462-1,5994241826177,304,960,Access Bank Ghana
FIN-1304,14753,GHA-0346059736-0,14532497240,305,2332,Fidelity Bank Ghana
FIN-1305,4493,GHA-7483591585-8,0882221108215,306,316,GCB Bank
FIN-1306,7215,GHA-1305362319-8,545461352973,307,1517,CalBank
FIN-1307,5867,GHA-7845964187-8,64641364860,308,2676,Stanbic Bank Ghana
FIN-1308,6740,GHA-6520289007-8,77787116298,309,339,Access Bank Ghana
FIN-1309,14268,GHA-3104439414-8,90976785208,310,2467,Absa Bank Ghana
FIN-1310,11153,GHA-2694832459-8,5813441283698,311,2554,Fidelity Bank Ghana
FIN-1311,14841,GHA-4073014881-0,3195898975,312,2362,Absa Bank Ghana
FIN-1312,13151,GHA-4708737350-2,536019820945,313,448,Stanbic Bank Ghana
FIN-1313,13730,GHA-2689192744-4,968307098800,314,2471,Absa Bank Ghana
FIN-1314,14567,GHA-5279009190-1,6695993446731,315,499,UBA Ghana
FIN-1315,13117,GHA-0783337296-3,092343109320,316,688,Fidelity Bank Ghana
FIN-1316,10701,GHA-9833349208-8,36770603132,317,2925,CalBank
FIN-1317,5500,GHA-7431173848-8,41330010596,318,339,Fidelity Bank Ghana
FIN-1318,8752,GHA-0686810860-8,2029037677,319,1190,Access Bank Ghana
FIN-1319,3253,GHA-0780462842-9,5616182812,320,2595,Ecobank Ghana
FIN-1320,4861,GHA-6060829900-9,5854332783489,321,1101,Access Bank Ghana
FIN-1321,5604,GHA-9943710225-5,35572253999,322,2347,Access Bank Ghana
FIN-1322,10031,GHA-8065489978-1,056646415674,323,2651,Ecobank Ghana
FIN-1323,10713,GHA-8110920620-3,4580314027,324,2160,UBA Ghana
FIN-1324,13542,GHA-7362245223-0,578639252446,325,1271,Access Bank Ghana
FIN-1325,12164,GHA-6509667064-9,9105412061656,326,2990,Ecobank Ghana
FIN-1326,9788,GHA-8828702264-9,968881317824,327,2904,GCB Bank
FIN-1327,10684,GHA-9667186413-3,7111242839153,328,2895,Republic Bank Ghana
FIN-1328,7819,GHA-8628456593-7,30008136407,329,955,Republic Bank Ghana
FIN-1329,14545,GHA-3650298507-6,567142201336,330,2248,UBA Ghana
FIN-1330,8407,GHA-8723967696-8,6519927049,331,1287,First Atlantic Bank
FIN-1331,3532,GHA-1633676484-9,57586917441,332,707,Fidelity Bank Ghana
FIN-1332,6697,GHA-5974770267-4,8937990049,333,1784,GCB Bank
FIN-1333,13976,GHA-9474518631-0,665323719462,334,834,First Atlantic Bank
FIN-1334,4368,GHA-3635899964-3,7328046422898,335,1112,UBA Ghana
FIN-1335,8594,GHA-7585104246-1,78150758167,336,1341,First Atlantic Bank
FIN-1336,11784,GHA-2466683177-9,15029166752,337,602,Fidelity Bank Ghana
FIN-1337,7701,GHA-6196870371-3,89700558570,338,2227,Access Bank Ghana
FIN-1338,11370,GHA-7539899456-4,138657840384,339,2730,Ecobank Ghana
