employee_id,other_names,last_name,age,position,date_joined,phone_number,gender,employee_status,department_code,email_address
38,Ama Akosua Chen,Williams,43,Executive,2020-02-05,233452547132,Female,Active,DAT,Ama.Akosua.Chen.Williams@roblox.com
39,Ethan Samuel Kwame,Okafor,46,Developer,2021-11-26,233463887087,Male,Active,CST,Ethan.Samuel.Kwame.Okafor@roblox.com
40,Nathan Michael,Dubois,34,Consultant,2023-07-28,233348566940,Male,Inactive,MKT,Nathan.Michael.Dubois@roblox.com
41,Ethan David Luca,Ivanov,47,Developer,2024-07-28,233506394691,Male,On Leave,DAT,Ethan.David.Luca.Ivanov@roblox.com
42,Charlotte Maria Hannah,Rossi,23,Manager,2020-03-09,233322041531,Female,Active,PRD,Charlotte.Maria.Hannah.Rossi@roblox.com
43,Michael Alexander Sebastian,Okafor,28,Assistant,2017-12-05,233507851644,Male,Inactive,FIN,Michael.Alexander.Sebastian.Okafor@roblox.com
44,Sakura,Hassan,49,Manager,2018-09-23,233419950115,Female,Active,OPS,Sakura.Hassan@roblox.com
45,Ella Aisha,Badu,26,Manager,2024-12-14,233518317258,Female,Inactive,CST,Ella.Aisha.Badu@roblox.com
46,Grace,Dubois,28,Manager,2016-12-06,233500474945,Female,On Leave,OPS,Grace.Dubois@roblox.com
47,Hannah,Williams,51,Manager,2018-12-01,233434307629,Female,Inactive,MKT,Hannah.Williams@roblox.com
48,Michael Arjun,Silva,35,Analyst,2020-10-11,233554271652,Male,Inactive,FIN,Michael.Arjun.Silva@roblox.com
49,Kwame Isaac,Osei,38,Consultant,2018-05-26,233243372911,Male,Inactive,HR,Kwame.Isaac.Osei@roblox.com
50,Ava Ava,Garcia,53,Assistant,2015-06-09,233298064476,Female,Active,OPS,Ava.Ava.Garcia@roblox.com
51,Jean Kojo Sebastian,Taylor,23,Manager,2020-04-17,233414701841,Male,Active,MKT,Jean.Kojo.Sebastian.Taylor@roblox.com
52,Kojo Nathan Liam,Owusu,35,Analyst,2018-10-16,233559723243,Male,Inactive,PRD,Kojo.Nathan.Liam.Owusu@roblox.com
53,Wei,Badu,22,Assistant,2022-02-08,233522477218,Male,On Leave,PRD,Wei.Badu@roblox.com
54,Ava Hannah Abena,Lopez,56,Assistant,2023-03-09,233475078359,Female,Inactive,FIN,Ava.Hannah.Abena.Lopez@roblox.com
55,Elijah Mateo,Hassan,41,Developer,2023-01-03,233459382635,Male,Inactive,ENG,Elijah.Mateo.Hassan@roblox.com
56,Noah,Hassan,58,Analyst,2017-07-10,233296689017,Male,On Leave,DAT,Noah.Hassan@roblox.com
57,Emily Ava,Nguyen,42,Developer,2021-12-08,233564387809,Female,Inactive,ENG,Emily.Ava.Nguyen@roblox.com
58,Zara Abena,Mensah,54,Consultant,2022-07-10,233507145117,Female,Inactive,FIN,Zara.Abena.Mensah@roblox.com
59,Zara Sophia,Kim,58,Manager,2023-07-11,233459767068,Female,Inactive,MKT,Zara.Sophia.Kim@roblox.com
60,Sakura Ella,Johnson,54,Manager,2018-04-20,233231524392,Female,On Leave,MKT,Sakura.Ella.Johnson@roblox.com
61,Isabella Akosua,Patel,28,Consultant,2024-06-07,233583465526,Female,Inactive,OPS,Isabella.Akosua.Patel@roblox.com
62,Abena Adwoa,Kim,52,Consultant,2019-07-03,233261450475,Female,Inactive,OPS,Abena.Adwoa.Kim@roblox.com
63,Ella,Badu,24,Manager,2023-10-28,233241961643,Female,Inactive,DAT,Ella.Badu@roblox.com
64,Liam Omar,Nguyen,40,Executive,2015-08-23,233218560842,Male,Active,CST,Liam.Omar.Nguyen@roblox.com
65,Yaw Elijah,Patel,27,Executive,2021-03-17,233226047150,Male,On Leave,MKT,Yaw.Elijah.Patel@roblox.com
66,Yusuf,Brown,59,Manager,2020-07-14,233347711961,Male,On Leave,PRD,Yusuf.Brown@roblox.com
67,Lina Mia Zara,Badu,49,Executive,2017-07-06,233511547643,Female,Inactive,ENG,Lina.Mia.Zara.Badu@roblox.com
68,Kojo Michael,Anderson,23,Assistant,2015-03-11,233543248744,Male,Active,ENG,Kojo.Michael.Anderson@roblox.com
69,Adwoa Naomi Adwoa,Dubois,44,Analyst,2018-10-02,233202345623,Female,Active,ENG,Adwoa.Naomi.Adwoa.Dubois@roblox.com
70,Grace,Nguyen,51,Manager,2018-08-05,233269058911,Female,Inactive,PRD,Grace.Nguyen@roblox.com
71,Grace Naomi Victoria,Rossi,32,Manager,2022-10-14,233223608138,Female,On Leave,DAT,Grace.Naomi.Victoria.Rossi@roblox.com
72,Mia Adwoa,Okafor,43,Assistant,2018-04-16,233299964463,Female,Inactive,DAT,Mia.Adwoa.Okafor@roblox.com
73,Ethan,Patel,23,Developer,2024-04-13,233231798897,Male,Active,PRD,Ethan.Patel@roblox.com
74,Wei,Owusu,45,Executive,2018-01-08,233425563495,Male,Inactive,CST,Wei.Owusu@roblox.com
75,Yaw,Taylor,44,Manager,2020-02-24,233479160390,Male,On Leave,PRD,Yaw.Taylor@roblox.com
76,Mateo,Khan,43,Developer,2024-10-05,233373923063,Male,Inactive,MKT,Mateo.Khan@roblox.com
77,Ava Sofia,Campbell,47,Assistant,2016-05-24,233534743579,Female,Inactive,CST,Ava.Sofia.Campbell@roblox.com
78,Chen,Lopez,41,Manager,2020-06-11,233536976154,Female,Active,ENG,Chen.Lopez@roblox.com
79,Hannah Sakura,Lopez,37,Assistant,2021-10-06,233268875190,Female,Inactive,MKT,Hannah.Sakura.Lopez@roblox.com
80,Yusuf,Dubois,47,Developer,2021-12-22,233397773179,Male,Inactive,MKT,Yusuf.Dubois@roblox.com
81,Liam,Anderson,38,Analyst,2024-07-30,233546977844,Male,On Leave,DAT,Liam.Anderson@roblox.com
82,Michael,Boateng,32,Analyst,2024-10-29,233283080316,Male,On Leave,DAT,Michael.Boateng@roblox.com
83,Lina,Johnson,44,Developer,2018-02-09,233364251780,Female,Active,OPS,Lina.Johnson@roblox.com
84,Lina,Ivanov,35,Developer,2021-04-06,233527277420,Female,On Leave,ENG,Lina.Ivanov@roblox.com
85,Samuel Arjun Carlos,Lee,23,Developer,2015-08-24,233410652940,Male,Inactive,ENG,Samuel.Arjun.Carlos.Lee@roblox.com
86,Noah Sebastian Andres,Okafor,54,Analyst,2020-09-07,233437288434,Male,Inactive,OPS,Noah.Sebastian.Andres.Okafor@roblox.com
87,Kwame,Osei,58,Executive,2016-01-23,233358918319,Male,Active,OPS,Kwame.Osei@roblox.com
88,Mia Victoria Charlotte,Lopez,39,Assistant,2017-06-28,233392844607,Female,Active,FIN,Mia.Victoria.Charlotte.Lopez@roblox.com
89,Wei Michael Daniel,Garcia,51,Executive,2021-04-25,233214429914,Male,Inactive,OPS,Wei.Michael.Daniel.Garcia@roblox.com
90,Nathan David,Lee,46,Executive,2015-03-25,233573862680,Male,On Leave,PRD,Nathan.David.Lee@roblox.com
91,Akosua Adwoa Charlotte,Johnson,37,Consultant,2022-01-06,233487920824,Female,Inactive,MKT,Akosua.Adwoa.Charlotte.Johnson@roblox.com
92,Zara,Lopez,32,Consultant,2024-05-24,233515830838,Female,Inactive,PRD,Zara.Lopez@roblox.com
93,Victoria,Schmidt,25,Assistant,2018-04-06,233467795488,Female,Inactive,DAT,Victoria.Schmidt@roblox.com
94,Chen Hannah,Lee,22,Analyst,2017-09-04,233243307680,Female,Active,DAT,Chen.Hannah.Lee@roblox.com
95,Nathan Yusuf,Osei,26,Assistant,2023-01-11,233318047827,Male,Active,ENG,Nathan.Yusuf.Osei@roblox.com
96,Kojo,Boateng,26,Developer,2015-10-05,233293186988,Male,On Leave,MKT,Kojo.Boateng@roblox.com
97,Yusuf,Schmidt,57,Analyst,2020-08-18,233406751460,Male,Active,FIN,Yusuf.Schmidt@roblox.com
98,Naomi Maria Akosua,Anderson,54,Manager,2016-02-05,233364747358,Female,Inactive,OPS,Naomi.Maria.Akosua.Anderson@roblox.com
99,Fatima Akosua Akosua,Johnson,57,Analyst,2023-03-08,233352032218,Female,Active,DAT,Fatima.Akosua.Akosua.Johnson@roblox.com
100,Victoria,Osei,25,Analyst,2020-07-20,233389242166,Female,Active,PRD,Victoria.Osei@roblox.com
101,Hiroshi Arjun Andres,Patel,22,Manager,2021-11-06,233536320765,Male,Active,ENG,Hiroshi.Arjun.Andres.Patel@roblox.com
102,Akosua,Ivanov,39,Analyst,2020-03-11,233441611107,Female,Inactive,DAT,Akosua.Ivanov@roblox.com
103,Nathan,Williams,45,Executive,2015-04-18,233410138958,Male,Active,HR,Nathan.Williams@roblox.com
104,Grace Adwoa Chen,Patel,36,Manager,2016-12-19,233502078966,Female,Active,HR,Grace.Adwoa.Chen.Patel@roblox.com
105,Aisha Sakura Sakura,Smith,43,Executive,2023-10-18,233365934877,Female,Inactive,FIN,Aisha.Sakura.Sakura.Smith@roblox.com
106,Alexander Sebastian David,Adjei,32,Assistant,2022-10-24,233529038908,Male,On Leave,HR,Alexander.Sebastian.David.Adjei@roblox.com
107,Sofia Sophia,Hassan,39,Manager,2022-09-03,233497821144,Female,Inactive,ENG,Sofia.Sophia.Hassan@roblox.com
108,Kwame,Patel,30,Manager,2018-08-03,233433013331,Male,Inactive,MKT,Kwame.Patel@roblox.com
109,Mohammed Yusuf,Khan,22,Assistant,2021-07-19,233509227156,Male,Active,DAT,Mohammed.Yusuf.Khan@roblox.com
110,Hannah Aisha Mia,Williams,54,Assistant,2021-07-18,233508441477,Female,Inactive,CST,Hannah.Aisha.Mia.Williams@roblox.com
111,Nathan,Dubois,56,Developer,2018-05-23,233340022122,Male,Active,HR,Nathan.Dubois@roblox.com
112,Alexander Omar Yaw,Adjei,30,Consultant,2019-06-01,233424795328,Male,Inactive,DAT,Alexander.Omar.Yaw.Adjei@roblox.com
113,Ama Adwoa,Nguyen,48,Manager,2021-11-02,233431972792,Female,On Leave,DAT,Ama.Adwoa.Nguyen@roblox.com
114,Fatima Fatima Hannah,Johnson,36,Analyst,2015-07-14,233520302921,Female,Inactive,PRD,Fatima.Fatima.Hannah.Johnson@roblox.com
115,Yaw,Schmidt,42,Analyst,2021-06-22,233575101626,Male,On Leave,MKT,Yaw.Schmidt@roblox.com
116,Sebastian,Martinez,50,Manager,2016-05-04,233373272332,Male,Active,CST,Sebastian.Martinez@roblox.com
117,Naomi Ella Aisha,Williams,38,Developer,2017-01-24,233294647192,Female,Inactive,PRD,Naomi.Ella.Aisha.Williams@roblox.com
118,Noah Carlos Alexander,Brown,45,Executive,2023-01-17,233329183168,Male,On Leave,ENG,Noah.Carlos.Alexander.Brown@roblox.com
119,Luca,Dubois,26,Executive,2024-08-29,233297406519,Male,Inactive,DAT,Luca.Dubois@roblox.com
120,Zara Sophia Aisha,Okafor,54,Executive,2019-06-16,233331594658,Female,On Leave,MKT,Zara.Sophia.Aisha.Okafor@roblox.com
121,Emily Akosua,Martinez,52,Consultant,2017-01-23,233360288553,Female,On Leave,FIN,Emily.Akosua.Martinez@roblox.com
122,Ananya Ananya Sofia,Mensah,37,Consultant,2023-06-23,233335136808,Female,Active,MKT,Ananya.Ananya.Sofia.Mensah@roblox.com
123,Sofia Sophia,Martinez,46,Analyst,2022-01-18,233382021028,Female,Inactive,CST,Sofia.Sophia.Martinez@roblox.com
124,Maria Sophia Zara,Anderson,33,Manager,2016-07-01,233346552645,Female,On Leave,CST,Maria.Sophia.Zara.Anderson@roblox.com
125,Ethan Isaac,Patel,34,Developer,2017-01-19,233280078009,Male,On Leave,FIN,Ethan.Isaac.Patel@roblox.com
126,Sakura Adwoa Mia,Williams,47,Assistant,2016-11-14,233299087664,Female,Inactive,DAT,Sakura.Adwoa.Mia.Williams@roblox.com
127,Aisha,Adjei,40,Consultant,2018-06-07,233521495105,Female,On Leave,MKT,Aisha.Adjei@roblox.com
128,David,Okafor,40,Executive,2020-05-18,233484822530,Male,Inactive,HR,David.Okafor@roblox.com
129,Kojo,Williams,36,Assistant,2023-09-16,233455675722,Male,On Leave,ENG,Kojo.Williams@roblox.com
130,Maria,Taylor,42,Executive,2020-03-24,233255928643,Female,Inactive,HR,Maria.Taylor@roblox.com
131,Ethan Alexander,Patel,27,Manager,2024-08-28,233409529719,Male,Inactive,CST,Ethan.Alexander.Patel@roblox.com
132,Maria,Smith,53,Executive,2017-11-09,233310841390,Female,Active,CST,Maria.Smith@roblox.com
133,Hiroshi Luca,Ivanov,40,Executive,2018-10-21,233404363717,Male,Inactive,HR,Hiroshi.Luca.Ivanov@roblox.com
134,Jean,Silva,30,Executive,2022-05-17,233260345891,Male,Active,HR,Jean.Silva@roblox.com
135,Charlotte,Williams,60,Consultant,2020-12-23,233295626687,Female,Active,DAT,Charlotte.Williams@roblox.com
136,Jean David,Lopez,50,Analyst,2016-09-24,233298171556,Male,On Leave,PRD,Jean.David.Lopez@roblox.com
137,Maria Maria Emily,Johnson,22,Consultant,2025-02-02,233295856447,Female,Inactive,CST,Maria.Maria.Emily.Johnson@roblox.com
138,Hannah Olivia,Nguyen,33,Manager,2021-08-04,233246406967,Female,Active,OPS,Hannah.Olivia.Nguyen@roblox.com
139,Akosua Adwoa Charlotte,Badu,38,Analyst,2023-09-07,233478653000,Female,Inactive,MKT,Akosua.Adwoa.Charlotte.Badu@roblox.com
140,Alexander,Martinez,43,Executive,2022-03-24,233201897901,Male,Active,MKT,Alexander.Martinez@roblox.com
141,Grace Mia,Khan,51,Manager,2023-09-14,233499192395,Female,Active,ENG,Grace.Mia.Khan@roblox.com
142,Kojo Wei,Patel,24,Executive,2016-12-19,233507701729,Male,Inactive,MKT,Kojo.Wei.Patel@roblox.com
143,Chiamaka Ella,Patel,26,Developer,2015-05-01,233389170797,Female,On Leave,CST,Chiamaka.Ella.Patel@roblox.com
144,Ella Grace Naomi,Williams,44,Consultant,2020-02-05,233582587176,Female,On Leave,CST,Ella.Grace.Naomi.Williams@roblox.com
145,Victoria,Khan,38,Executive,2016-12-14,233598441039,Female,Inactive,OPS,Victoria.Khan@roblox.com
146,Wei Jean,Adjei,41,Executive,2021-06-22,233229423118,Male,Active,DAT,Wei.Jean.Adjei@roblox.com
147,Yaw Yaw,Anderson,47,Executive,2019-02-23,233478705687,Male,Inactive,DAT,Yaw.Yaw.Anderson@roblox.com
148,Sophia Victoria,Mensah,53,Analyst,2022-04-13,233394956145,Female,On Leave,OPS,Sophia.Victoria.Mensah@roblox.com
149,Mia Adwoa Mia,Kim,59,Executive,2020-08-30,233523441303,Female,Active,MKT,Mia.Adwoa.Mia.Kim@roblox.com
150,Kojo Elijah Yaw,Lopez,54,Manager,2022-10-31,233471454241,Male,Active,HR,Kojo.Elijah.Yaw.Lopez@roblox.com
151,Hannah,Brown,39,Assistant,2019-12-28,233574550763,Female,On Leave,PRD,Hannah.Brown@roblox.com
152,Ananya,Campbell,58,Analyst,2017-05-19,233247421853,Female,Active,HR,Ananya.Campbell@roblox.com
153,Luca Alexander,Lopez,38,Consultant,2023-10-03,233432871630,Male,Inactive,MKT,Luca.Alexander.Lopez@roblox.com
154,Sophia Abena Abena,Okafor,42,Developer,2019-06-20,233456453103,Female,Inactive,DAT,Sophia.Abena.Abena.Okafor@roblox.com
155,Hannah Ella,Anderson,42,Developer,2024-11-04,233564521955,Female,Active,ENG,Hannah.Ella.Anderson@roblox.com
156,Olivia Victoria Olivia,Okafor,50,Developer,2015-08-23,233345857756,Female,Active,HR,Olivia.Victoria.Olivia.Okafor@roblox.com
157,Olivia,Schmidt,45,Developer,2019-03-30,233458680243,Female,On Leave,PRD,Olivia.Schmidt@roblox.com
158,Ethan Elijah Michael,Smith,29,Analyst,2018-08-23,233420431371,Male,Active,MKT,Ethan.Elijah.Michael.Smith@roblox.com
159,Isabella,Campbell,44,Manager,2023-08-13,233266887513,Female,Active,ENG,Isabella.Campbell@roblox.com
160,Andres Elijah,Rossi,40,Consultant,2017-07-21,233227489546,Male,Inactive,OPS,Andres.Elijah.Rossi@roblox.com
161,Noah,Adjei,42,Executive,2024-04-23,233527978635,Male,On Leave,PRD,Noah.Adjei@roblox.com
162,Isabella Ananya,Smith,24,Developer,2022-10-08,233350911517,Female,On Leave,HR,Isabella.Ananya.Smith@roblox.com
163,Abena Chiamaka,Hassan,42,Developer,2021-05-10,233519050539,Female,Inactive,HR,Abena.Chiamaka.Hassan@roblox.com
164,Ananya Ama Grace,Johnson,32,Analyst,2024-06-13,233573539108,Female,On Leave,MKT,Ananya.Ama.Grace.Johnson@roblox.com
165,Sebastian Andres,Mensah,36,Consultant,2020-12-20,233233293561,Male,Inactive,FIN,Sebastian.Andres.Mensah@roblox.com
166,Luca,Osei,24,Manager,2020-03-23,233409268103,Male,On Leave,HR,Luca.Osei@roblox.com
167,Ella Abena,Okafor,42,Analyst,2019-10-27,233258216943,Female,On Leave,HR,Ella.Abena.Okafor@roblox.com
168,Michael,Dubois,52,Analyst,2020-11-10,233214691406,Male,Inactive,HR,Michael.Dubois@roblox.com
169,Kwame,Williams,48,Manager,2022-07-31,233234333747,Male,On Leave,CST,Kwame.Williams@roblox.com
170,Carlos Kojo Yusuf,Badu,57,Executive,2023-01-01,233209430663,Male,Inactive,MKT,Carlos.Kojo.Yusuf.Badu@roblox.com
171,Kwame Isaac Jean,Okafor,28,Developer,2022-02-16,233418712777,Male,Active,ENG,Kwame.Isaac.Jean.Okafor@roblox.com
172,Ama,Anderson,27,Executive,2020-08-27,233476233634,Female,On Leave,OPS,Ama.Anderson@roblox.com
173,Ama Akosua Maria,Ivanov,53,Executive,2022-01-23,233371295617,Female,Active,OPS,Ama.Akosua.Maria.Ivanov@roblox.com
174,Ella Victoria,Okafor,34,Analyst,2019-11-24,233434099905,Female,Active,CST,Ella.Victoria.Okafor@roblox.com
175,Mia Aisha,Silva,33,Executive,2016-10-03,233381261178,Female,On Leave,OPS,Mia.Aisha.Silva@roblox.com
176,Ethan Jean Luca,Martinez,38,Executive,2015-08-22,233435546140,Male,Active,HR,Ethan.Jean.Luca.Martinez@roblox.com
177,Elijah Kojo Wei,Okafor,56,Analyst,2017-05-10,233218672785,Male,Active,MKT,Elijah.Kojo.Wei.Okafor@roblox.com
178,Naomi Emily,Rossi,48,Analyst,2019-09-19,233300123199,Female,Inactive,MKT,Naomi.Emily.Rossi@roblox.com
179,Ama Ella Aisha,Taylor,23,Analyst,2022-08-01,233311064025,Female,Inactive,DAT,Ama.Ella.Aisha.Taylor@roblox.com
180,Victoria,Okafor,42,Analyst,2019-02-27,233523296767,Female,On Leave,CST,Victoria.Okafor@roblox.com
181,Arjun,Khan,57,Developer,2017-03-17,233512781412,Male,Active,MKT,Arjun.Khan@roblox.com
182,Noah Kofi Liam,Smith,56,Manager,2019-01-12,233268237404,Male,Active,FIN,Noah.Kofi.Liam.Smith@roblox.com
183,Isaac Yaw Mateo,Badu,28,Developer,2022-12-08,233556763500,Male,Active,OPS,Isaac.Yaw.Mateo.Badu@roblox.com
184,Lina Aisha Akosua,Nguyen,53,Analyst,2017-06-09,233414656818,Female,Inactive,MKT,Lina.Aisha.Akosua.Nguyen@roblox.com
185,Lina Hannah Sofia,Anderson,35,Manager,2024-08-05,233573121333,Female,Inactive,ENG,Lina.Hannah.Sofia.Anderson@roblox.com
186,Noah Jean Isaac,Garcia,59,Assistant,2021-08-30,233392124672,Male,On Leave,PRD,Noah.Jean.Isaac.Garcia@roblox.com
187,Ananya Charlotte,Rossi,24,Executive,2022-03-11,233473697262,Female,Active,CST,Ananya.Charlotte.Rossi@roblox.com
188,Ama Chen Lina,Johnson,55,Analyst,2016-02-27,233289108788,Female,Inactive,DAT,Ama.Chen.Lina.Johnson@roblox.com
189,Mia Sofia,Schmidt,56,Consultant,2023-05-24,233251740427,Female,Inactive,DAT,Mia.Sofia.Schmidt@roblox.com
190,David Omar,Garcia,43,Analyst,2024-06-11,233408232947,Male,On Leave,DAT,David.Omar.Garcia@roblox.com
191,Hannah Charlotte,Ivanov,47,Analyst,2024-04-25,233455887135,Female,On Leave,FIN,Hannah.Charlotte.Ivanov@roblox.com
192,Abena,Lopez,37,Analyst,2015-10-07,233502376733,Female,Active,OPS,Abena.Lopez@roblox.com
193,Sakura Charlotte Victoria,Taylor,31,Consultant,2024-03-12,233544457025,Female,On Leave,ENG,Sakura.Charlotte.Victoria.Taylor@roblox.com
194,Ananya Chen,Kim,23,Consultant,2017-12-24,233299094152,Female,Inactive,OPS,Ananya.Chen.Kim@roblox.com
195,Yusuf Wei,Schmidt,44,Assistant,2016-07-07,233256750535,Male,Inactive,HR,Yusuf.Wei.Schmidt@roblox.com
196,Sakura Sofia,Khan,40,Executive,2020-03-23,233553515237,Female,Active,CST,Sakura.Sofia.Khan@roblox.com
197,Ella Lina,Lopez,49,Assistant,2024-04-02,233361163551,Female,Active,OPS,Ella.Lina.Lopez@roblox.com
198,Charlotte Fatima,Kim,28,Executive,2019-11-26,233385802742,Female,Active,DAT,Charlotte.Fatima.Kim@roblox.com
199,Akosua Lina Ama,Lee,49,Manager,2015-06-30,233470198741,Female,On Leave,OPS,Akosua.Lina.Ama.Lee@roblox.com
200,Mateo Michael Michael,Taylor,29,Consultant,2020-08-28,233494576635,Male,Inactive,FIN,Mateo.Michael.Michael.Taylor@roblox.com
201,Arjun,Ivanov,42,Consultant,2018-04-21,233210282563,Male,Inactive,OPS,Arjun.Ivanov@roblox.com
202,Yusuf Kwame Ethan,Khan,40,Analyst,2015-06-25,233200589834,Male,Inactive,HR,Yusuf.Kwame.Ethan.Khan@roblox.com
203,Lina Ananya Ananya,Ivanov,40,Assistant,2021-07-21,233542716875,Female,Inactive,HR,Lina.Ananya.Ananya.Ivanov@roblox.com
204,Omar Sebastian Mohammed,Okafor,55,Consultant,2024-08-28,233484068059,Male,Active,DAT,Omar.Sebastian.Mohammed.Okafor@roblox.com
205,Chiamaka Emily Chiamaka,Taylor,50,Assistant,2017-01-13,233326029975,Female,Active,OPS,Chiamaka.Emily.Chiamaka.Taylor@roblox.com
206,Luca Mohammed Daniel,Owusu,29,Consultant,2024-01-06,233358842360,Male,Active,ENG,Luca.Mohammed.Daniel.Owusu@roblox.com
207,Omar Noah,Rossi,48,Developer,2018-07-11,233415960525,Male,Inactive,FIN,Omar.Noah.Rossi@roblox.com
208,Samuel Kofi Sebastian,Owusu,26,Assistant,2016-03-06,233595169236,Male,Inactive,FIN,Samuel.Kofi.Sebastian.Owusu@roblox.com
209,Kofi Isaac,Boateng,32,Analyst,2019-07-31,233237986598,Male,Inactive,ENG,Kofi.Isaac.Boateng@roblox.com
210,David Isaac Luca,Silva,40,Developer,2023-04-22,233469995685,Male,Active,OPS,David.Isaac.Luca.Silva@roblox.com
211,Yaw,Kim,58,Manager,2017-10-23,233386955224,Male,Active,PRD,Yaw.Kim@roblox.com
212,Elijah,Khan,29,Analyst,2024-04-01,233363380678,Male,On Leave,OPS,Elijah.Khan@roblox.com
213,Sakura Ananya Maria,Okafor,27,Executive,2022-10-24,233527535506,Female,Inactive,ENG,Sakura.Ananya.Maria.Okafor@roblox.com
